,cr1-cr-other,cr2-cr-other,cr3-cr-other,cr3-i2,cr3-i3,cr4-cr-other,cr5-cr-other,cr5-i1,cr5-i5,cr5-i9,cr6-i1,"ft1-ft-other::
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,iOS,,,Some experience,Completed one project/course,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,,Some experience,Completed one project/course,Completed one project/course,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,Completed one project/course,Completed multiple projects/courses,,5,5,5,5,5,5,5,5,5,5,5,5,true,false,,59e27cdf3b62e811697f4bd5
110,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,Politics,,Travel,Entertainment,Music,Economics,Social Issues,,Media,,,,,,,I have very limited experience.,,No experience,,,,,,,,,,,Some experience,,,,,,,,,,4,2,4,5,5,5,3,5,4,4,4,4,true,false,,59e2ec393b62e811697f4bec
111,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,Front-end Engineer,Back-end Engineer,,,,,,,Some experience,,,,,,,,,,,Some experience,Some experience,Some experience,,Completed one project/course,,,Some experience,,,,,,,2,4,,2,4,4,3,3,true,false,,59e2f37d3b62e811697f4bee
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,,,,No experience,Some experience,Some experience,,,,,,,3,3,3,3,5,5,3,4,,,,,,,,59e388333b62e811697f4bf5
113,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,Travel,Entertainment,Music,,,,,,Back-end Engineer,Data Scientist,,,,,,Completed one project/course,,Completed multiple projects/courses,Some experience,,Some experience,,,,,,Some experience,,,,Some experience,,Some experience,Completed multiple projects/courses,,,5,3,4,2,5,5,5,5,4,5,4,3,true,false,,59e3b03f3b62e811697f4bf8
114,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,,,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59e3f30a3b62e811697f4c06
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,Travel,Entertainment,,Economics,Social Issues,,,,Back-end Engineer,Data Scientist,,,Android,,,No experience,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Some experience,Completed one project/course,Completed one project/course,,Some experience,Some experience,Some experience,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,,,Completed one project/course,,,5,4,5,5,5,5,5,5,4,5,5,5,true,false,,59e449623b62e811697f4c12
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,Entertainment,Music,Economics,,,,,Back-end Engineer,,,,,,,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,,,,,,Some experience,Completed multiple projects/courses,Some experience,Some experience,Completed multiple projects/courses,,,Completed one project/course,Some experience,,5,4,5,5,5,,5,3,5,5,5,5,true,false,,59e4587d3b62e811697f4c13
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,business analytics,,,,,,,no idea,,,,,,,,,,,,,,,Some experience,,Completed one project/course,,,Completed one project/course,,,3,2,3,3,5,5,,,,3,3,3,false,false,,59e4ddce3b62e811697f4c1b
118,,,,,,,,,,,,,,,,,,,,,,,,"59e5886638e5c61e5eda8954, 59e508ac3b62e811697f4c25",,Sports,,Finance,,Health,Travel,Entertainment,Music,,Social Issues,,,Front-end Engineer,Back-end Engineer,,,,Android,,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,,Some experience,Completed multiple projects/courses,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,,Some experience,Completed one project/course,Some experience,,2,5,2,5,1,3,5,5,5,4,5,4,,true,true,59e4f59e3b62e811697f4c1f
119,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,Health,,Entertainment,Music,,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,,,,Some experience,Completed multiple projects/courses,,Completed one project/course,Some experience,Completed one project/course,Completed one project/course,,Completed one project/course,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,,,5,5,4,5,4,5,4,5,4,5,5,4,true,true,true,59e589c138e5c61e5eda8956
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,Entertainment,,Economics,,,"Recruiting, B2B services",,,,Designer,,,Business + Presentation,,Some experience,,,,,,,,,,,Completed multiple projects/courses,Some experience,,,,,,,,,5,5,5,4,5,3,5,5,2,5,5,5,true,false,,59e5983f065b993ff9e1188a
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,,Gaming,,,Back-end Engineer,Data Scientist,,,,,Some experience,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed multiple projects/courses,No experience,Completed one project/course,Completed one project/course,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,Completed one project/course,Completed multiple projects/courses,,,5,2,4,5,5,5,5,5,5,5,4,5,true,false,,59e5a736065b993ff9e1188c
122,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,,,,Social Issues,,Education for displaced learners and refugees ,,,,Designer,,,"Communication, Web Design, Educational Consultant ",Some experience,Completed one project/course,,,,,,Some experience,Some experience,Some experience,,,No experience,,,,,,,,,,5,3,5,5,5,5,,5,3,5,5,4,true,false,,59e64dc4065b993ff9e11899
123,,,,,,,,,,,,,Daypop,Event discovery that adapts with dynamic lifestyles and fosters inclusive communities,"Python, Javascript, Node, React.js, Elixir-Phoenix, PostgreSQL, Redis, HTML, CSS",Front-end Engineer,Back-end Engineer,,Designer,,,,Moderate - we've built prototype web apps before,59e65d3c065b993ff9e1189b,,,Arts,,,,Travel,Entertainment,Music,Economics,,Gaming,Technology,Front-end Engineer,,,Designer,,,Lead,,Some experience,Some experience,Some experience,,Some experience,Some experience,,Completed multiple projects/courses,,,,Completed multiple projects/courses,Completed one project/course,,Completed one project/course,Some experience,,Some experience,Some experience,Some experience,,4,3,4,3,5,4,3,4,4,4,4,4,,true,false,59e6508e065b993ff9e1189a
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,Completed one project/course,,,Some experience,Some experience,Some experience,,Completed multiple projects/courses,Completed one project/course,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Some experience,Completed one project/course,,,3,1,3,3,5,2,,4,4,2,1,,,,,59e65d3c065b993ff9e1189b
125,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,,,,Economics,Social Issues,,,Front-end Engineer,Back-end Engineer,,Designer,,,,,Completed multiple projects/courses,,,Completed one project/course,,Completed one project/course,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Some experience,Completed multiple projects/courses,,,,,,5,5,5,5,5,5,2,5,4,5,5,5,true,false,,59e661ad065b993ff9e1189e
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,Social Issues,Gaming,,,Back-end Engineer,,,,,,No experience,Completed one project/course,Some experience,,,Completed multiple projects/courses,Completed one project/course,Some experience,Completed one project/course,Some experience,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,No experience,Completed multiple projects/courses,Some experience,,,4,3,4,4,5,4,3,4,3,4,4,3,true,false,,59e66bbc065b993ff9e118a0
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel,Entertainment,Music,,Social Issues,,,Front-end Engineer,Back-end Engineer,,,,,,,Completed one project/course,Some experience,,,Some experience,,,,,,,Completed multiple projects/courses,Some experience,,,Some experience,Completed one project/course,,,,,4,2,4,,5,5,2,4,3,3,,4,true,false,,59e66db7065b993ff9e118a1
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Completed one project/course,Some experience,,,,Some experience,,,,,,Completed multiple projects/courses,Some experience,Completed one project/course,,Some experience,,,Some experience,Some experience,,4,2,3,4,4,5,,5,3,4,4,4,,,,59e66e49065b993ff9e118a2
129,,,,,,,,,,,,1,Huskies,,,,,,,,,,,,,,,,,,,Entertainment,,,,,,,Back-end Engineer,,,iOS,,,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,Completed one project/course,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,No experience,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,,4,4,5,5,5,4,5,5,4,5,5,5,,true,true,59e6a02a065b993ff9e118b3
130,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,Finance,Politics,Health,Travel,Entertainment,Music,,Social Issues,,,,,,,,,Unsure,,,,,,,,,,,,,,,Completed one project/course,,,,,,,,3,2,4,3,2,5,,4,3,3,3,2,false,false,,59e6cb2b065b993ff9e118c0
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,,Gaming,Science,,,,Designer,,,,Some experience,Some experience,,,,,,Some experience,,,,,Completed one project/course,Completed one project/course,Completed one project/course,,Completed one project/course,,,,,,4,3,4,2,5,5,5,5,4,5,4,3,false,false,,59e7616e065b993ff9e118ca
132,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,,Finance,,,Travel,,,Economics,Social Issues,,,,Back-end Engineer,Data Scientist,Designer,,,,,Some experience,,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,,,,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,Some experience,Completed one project/course,Some experience,,Completed multiple projects/courses,,,4,4,5,3,5,5,5,3,4,5,5,3,true,false,,59e790c9065b993ff9e118d1
133,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,Health,,,Music,,,,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,,Completed one project/course,,,Some experience,,Some experience,,Some experience,,,,Completed multiple projects/courses,Completed one project/course,Completed one project/course,,Completed multiple projects/courses,,,,,,3,2,3,2,5,5,5,5,4,5,4,5,true,false,,59e79957065b993ff9e118d2
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,Travel,,,,Social Issues,,,,,,Designer,,,,,Completed one project/course,Completed one project/course,Some experience,,,,,,,,,Completed multiple projects/courses,Completed one project/course,Completed one project/course,,,,,Completed one project/course,,,5,5,4,4,3,5,3,5,4,5,5,5,true,false,,59e7e386065b993ff9e118dc
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,,,Some experience,Some experience,Some experience,Some experience,,,,Some experience,,Some experience,Completed one project/course,,,,Completed one project/course,,,5,3,5,3,4,5,3,5,4,5,5,5,,,,59e7f955065b993ff9e118e1
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,Social Issues,,Neurosciencce ,,,Data Scientist,,,,,Some experience,Completed one project/course,Some experience,Some experience,Some experience,Completed multiple projects/courses,Some experience,Some experience,Completed multiple projects/courses,Some experience,,,Completed one project/course,Completed one project/course,Some experience,Some experience,Completed one project/course,,,Some experience,,,5,2,5,5,5,5,5,5,5,5,5,5,,true,true,59e80291065b993ff9e118e4
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No experience,,,,Some experience,,,,,,,,,,,,,,,,,,,,,59e8af9e8dd4091849b4706f
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,Entertainment,,,,Gaming,,,Back-end Engineer,,,,,,,Some experience,Some experience,Completed one project/course,Completed one project/course,Some experience,Completed multiple projects/courses,,Some experience,,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,,,,,,5,4,4,4,4,3,5,2,4,5,4,4,,true,false,59e8b4b78dd4091849b47070
139,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,Entertainment,Music,,,Gaming,,,Back-end Engineer,,,,,,Some experience,Some experience,Some experience,,,,Completed one project/course,,Some experience,Some experience,,,Some experience,Some experience,Completed one project/course,,Completed multiple projects/courses,,,,Some experience,,5,3,4,4,5,3,3,4,3,5,4,3,true,false,,59e8b7e18dd4091849b47073
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,,Some experience,,,,,,3,3,3,2,5,5,,4,,4,3,2,,,,59e8e4198dd4091849b47078
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,,,,,,,Completed one project/course,Some experience,Some experience,,Some experience,Completed one project/course,Completed one project/course,Some experience,Some experience,,,Completed one project/course,Completed one project/course,,Completed multiple projects/courses,Some experience,,Completed one project/course,,,,3,2,4,5,4,4,,5,2,5,4,4,true,false,,59e8f5448dd4091849b47079
142,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,Finance,Politics,Health,Travel,Entertainment,Music,Economics,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,,,,Some experience,,Some experience,No experience,,No experience,,,,Work with API,,Some experience,,Some experience,,Completed one project/course,,,,,,4,4,3,4,5,5,2,5,4,5,5,3,true,false,,59e8f6298dd4091849b4707a
143,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,,Finance,,Health,,,,Economics,,,,Front-end Engineer,Back-end Engineer,,,,,,,Some experience,,,,,,Some experience,,,,,Some experience,,Completed one project/course,,Some experience,,,Some experience,,,5,3,2,3,,5,,5,4,5,4,3,true,false,,59e917828dd4091849b4707f
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,,Social Issues,,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,,Completed multiple projects/courses,Completed one project/course,No experience,,,Some experience,,Some experience,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,,,,,,Some experience,,5,5,4,5,4,5,3,5,5,5,3,3,true,false,,59e92b258dd4091849b47081
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,,Gaming,Technologies,Front-end Engineer,Back-end Engineer,,,iOS,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,,,Pascal,4,3,3,2,4,5,5,5,4,4,4,4,true,false,,59e930528dd4091849b47082
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,Economics,Social Issues,Gaming,,,Back-end Engineer,,,,,,Some experience,,,,,,Completed one project/course,,Some experience,Some experience,,,,,Completed one project/course,,,,,,,,4,3,5,4,4,5,2,3,4,3,3,3,true,false,,59e949ff8dd4091849b47085
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,Social Issues,,,,,,,,,,,,,Some experience,Completed multiple projects/courses,Some experience,Some experience,,Completed multiple projects/courses,Completed one project/course,,Some experience,No experience,,Some experience,Completed one project/course,Completed multiple projects/courses,,,,Some experience,,4,3,4,2,5,4,3,5,4,5,4,5,true,false,,59e9537b8dd4091849b47088
148,BU,,,,,,,,,,,3,,,,,,,,,,,,,Fashion,,,Finance,,Health,,,,Economics,,,,Front-end Engineer,Back-end Engineer,,,,,,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Some experience,Completed multiple projects/courses,Some experience,,Some experience,Completed multiple projects/courses,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Some experience,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,,,4,4,4,4,5,5,3,4,3,4,4,4,false,false,true,59e9554c8dd4091849b47089
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,59ea1a3e8dd4091849b47094
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,Travel,,,,Social Issues,,,Front-end Engineer,,Data Scientist,Designer,iOS,,,,Completed multiple projects/courses,,Completed multiple projects/courses,Some experience,Some experience,,No experience,,,,,Some experience,,Completed one project/course,,Completed one project/course,,,Completed multiple projects/courses,,,3,3,4,4,5,2,,5,2,2,3,4,true,false,,59ea33c28dd4091849b4709b
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,,Entertainment,,,,Gaming,,,,Data Scientist,,,,,,,,Some experience,,Some experience,Some experience,Some experience,Some experience,,,,,Completed one project/course,,Some experience,,,Some experience,,,,4,3,3,3,5,4,2,4,4,4,4,3,true,false,,59eafb8d8dd4091849b470ac
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,,Gaming,,Front-end Engineer,Back-end Engineer,,,,Android,,Some experience,Completed multiple projects/courses,Completed one project/course,,,Some experience,Completed one project/course,No experience,Completed one project/course,Some experience,,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,,,5,4,4,4,5,5,3,5,3,4,4,4,true,false,,59ebc06d8dd4091849b470b2
153,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,,,,Health,,,,Economics,Social Issues,Gaming,,,,,,,,I have no experience with this whatsoever.,,,,,,,,,Some experience,,,,,,Some experience,,Completed one project/course,,,,,,4,2,,3,4,5,2,3,3,3,3,2,true,false,,59ebc3d98dd4091849b470b3
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No experience,,No experience,No experience,,,,,,,,,,,,Completed one project/course,,,,,,4,4,3,4,5,5,3,5,3,4,3,3,,,,59ebdb9e8dd4091849b470b9
155,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,,,Economics,,Gaming,,Front-end Engineer,Back-end Engineer,,,,,,,,,,,,,,,,,,Some experience,Some experience,Some experience,Some experience,Some experience,,,Some experience,,,4,3,3,3,3,3,3,4,4,4,4,4,,true,false,59ec24e6678f9e39fd109d7a
156,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,Sports,,,,Health,Travel,Entertainment,Music,,,,,,Back-end Engineer,,,,Android,,,Some experience,Completed one project/course,,,Some experience,Some experience,,Some experience,Completed one project/course,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,Some experience,,,,Completed one project/course,,,3,3,3,3,3,4,3,4,4,4,4,4,,true,false,59eccec3678f9e39fd109d85
157,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,,Travel,Entertainment,,,Social Issues,,,,Back-end Engineer,,Designer,,,,,Completed multiple projects/courses,Some experience,,Some experience,Some experience,Completed one project/course,No experience,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,Completed multiple projects/courses,,,4,4,4,4,3,4,2,4,5,4,3,4,true,true,false,59eccfcf678f9e39fd109d86
158,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,Travel,,,,Social Issues,,,Front-end Engineer,Back-end Engineer,Data Scientist,,,Android,,Some experience,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed one project/course,Some experience,Some experience,Completed multiple projects/courses,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,No experience,Completed multiple projects/courses,Completed one project/course,,,4,2,4,3,4,5,5,5,5,5,4,5,true,false,,59ed1a12678f9e39fd109d92
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,Travel,,,Economics,,,,,Back-end Engineer,,,,,,,Completed multiple projects/courses,Some experience,Some experience,Some experience,,Some experience,,,,,,Completed one project/course,Completed one project/course,Some experience,Some experience,Completed multiple projects/courses,,,Completed one project/course,,,5,4,4,4,4,5,4,5,5,5,4,5,true,false,,59ed8a92678f9e39fd109da2
160,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,Politics,,,Entertainment,Music,,,Gaming,,Front-end Engineer,,,Designer,iOS,Android,,Some experience,,Some experience,,,,Some experience,,Some experience,,,,,,Completed multiple projects/courses,Some experience,Completed one project/course,Some experience,Some experience,,,,4,3,3,2,3,4,3,2,3,3,3,3,,false,,59ee3ada678f9e39fd109daf
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Some experience,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,,Completed multiple projects/courses,Completed one project/course,,,Completed one project/course,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,No experience,,,Some experience,,5,5,5,5,5,5,5,5,5,5,5,5,,true,false,59ee3cd8678f9e39fd109db0
162,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,Travel,Entertainment,Music,,Social Issues,,,,,,,,,,Some experience,,,,,,Some experience,,Some experience,,,,,,,Some experience,No experience,,No experience,,,,4,3,4,4,4,5,,3,4,4,4,3,false,false,,59ee4692678f9e39fd109db4
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,iOS,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59ee5356678f9e39fd109db6
